fir needle oil,Poor,"Volatile, fragrant oil that can cause skin sensitivity."
fish cartilage extract,Average,"May have water-binding properties, but there is no research showing that this has any benefit for..."
flavonoid,Best,
flavor,Average,"According to the U.S. Food and Drug Administration, the term ""flavor"" on a product label signifies..."
flax,Best,Plant source of linen and edible seeds. Flax seeds and seed oil have antioxidant properties...
flaxseed oil,Best,"From seeds of the flax plant; a source of fatty acids, particularly omega-3."
floralozone,Poor,One of a number of synthetic fragrant components.
Foeniculum vulgare extract,Poor,
folic acid,Good,"Part of the B-vitamin complex; when taken orally, it is a good antioxidant. That benefit has not..."
formaldehyde-releasing preservative,Average,Common type of preservative found in cosmetics...
fragrance,Poor,One or a blend of volatile and/or fragrant plant oils (or synthetically derived oils) that impart...
frankincense extract,Poor,Fragrant component used in skincare products; it can be a skin sensitizer...
fructose,Good,"Often called fruit sugar, fructose is a type of sugar composed of glucose. It has water-binding..."
fruit acid,Average,
Fucus vesiculosus extract,Best,
Fu ling,Best,
fuller's earth,Good,"Mineral substance that is similar to kaolin (a clay). Composed mainly of alumina, silica, iron..."
galactoarabinan,Good,Polysaccharide extracted from the western larch tree.
galbanum,Poor,"Fragrant substance that, because of its resin and volatile oil content, can be extremely sensitizing…"
gamma linolenic acid (GLA),Best,Fatty acid used in cosmetics as an emollient and antioxidant. GLA is considered to...
Ganoderma lucidum extract,Average,Mushroom stem extract. There is no research showing it to be effective when used topically on skin...
Gardenia florida extract,Poor,Flower extract used in cosmetics to impart fragrance; also functions as an antioxidant (Source:...
gelatin,Good,Protein obtained from plants or animals and used in cosmetics as a thickening agent.
gellan gum,Good,"A plant-derived, high-weight, polysaccharide texture enhancer that also..."
Gellidiela acerosa extract,Good,Extract derived from a type of algae.
genistein,Best,"Plant component (most often from soy) that is a rich source of antioxidants, though it can also be..."
Gentiana lutea (Gentian) root extract,Best,"Part of the gentian plant, constituents of which are soothing to skin..."
geraniol,Average,"A volatile fragrance ingredient extracted from geranium, geraniol is capable of causing sensitivity when applied to skin."
geranium extract,Best,"Extract that can have potent antioxidant properties (Source: Phytomedicine, June 2000, pages..."
geranium oil,Poor,Fragrant oil that can have beneficial properties but also can be a skin sensitizer...
Geranium pretense,Poor,Geranium plant.
Germaben II,Good,Trade name for diazolidinyl urea.
ginger extract,Good,Extract from a plant in the Zingiberacae\xa0family that has research showing it has soothing...
ginger oil,Poor,
Ginkgo biloba leaf extract,Best,Potent antioxidant and soothing ingredient.
ginseng,Best,"Ginseng is a popular herbal supplement. When applied topically it delivers antioxidant benefits, boosts hydration, and helps visibly improve signs of skin aging."
GLA,Best,
glabridin,Best,Main ingredient in licorice extract. It has soothing properties. There is research showing...
gluconolactone,Best,
glucosamine HCL,Best,"A form of glucosamine, an amino sugar that can be considered a skin-restorative..."
glucose,Good,Monosaccharide that has water-binding properties for skin.
glucose oxidase,Good,Glucose oxidase is an enzyme that catalyzes the oxidation of the sugar glucose.
glucosyl hesperidin,Best,"A water-soluble form of hesperidin, a flavonoid found in many citrus plants, as well as evening primrose oil. It has potential as an antioxidant..."
glutamic acid,Average,Amino acid derived from wheat gluten. It can have water-binding properties for skin. There is no...
glutamine,Best,Can help improve the function of skin...
glutathione,Best,"Powerful, non-enzymatic antioxidant which naturally occurs in the skin."
gluten ingredients,Good,"Gluten is a protein that occurs naturally in many types of grains, including wheat, rye, and barley."
glycereth-26,Good,Used as an emollient and thickening agent in cosmetics.
glycereth-26 phosphate,Good,Used as an emollient and thickening agent in cosmetics.
glycereth-6 laurate,Good,Used as an emollient and thickening agent in cosmetics.
glycerin,Best,"Also called glycerol or glycerine, glycerin is present in all natural lipids (fats), whether animal or vegetable."
glycerine,Best,
glycerol,Best,
glycerol monostearate,Good,Used as an emollient and thickening agent in cosmetics.
glycerol triacetate,Good,Used as an emollient and thickening agent in cosmetics.
glycerol trioleate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl ascorbate,Best,"A vitamin C derivative, it serves as an antioxidant in skincare products."
glyceryl behanate,Good,A simple mixture of glycerin and the naturally-occuring fatty acid behenic acid. Glyceryl behenate...
glyceryl behenate,Best,An ester emollient of fatty acid behenic acid...
glyceryl behenate/eicosadioate,Good,"A mixture of esters of glycerin, along with behenic and eicosadioic acids, its works as a thickener and stabilizing agent in makeup and skincare products."
glyceryl cocoate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl dibehanate,Good,A complex mixture of glycerin and the naturally-occurring fatty acid behenic acid. Glyceryl...
glyceryl dipalmitate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl distearate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl ester,Good,"Large group of ingredients that are composed of fats and oils. At room temperature, the fats are..."
glyceryl isopalmitate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl isostearate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl myristate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl oleate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl palmitate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl polymethacrylate,Good,A blend of glycerin and polymethacrylic acid that functions as a film-forming agent. It has a...
glyceryl rosinate,Good,An ester of long chain acids derived from a plant-based ingredient known as rosin.
glyceryl stearate,Good,Used as an emollient and thickening agent in cosmetics.
glyceryl stearate SE,Good,Widely used ingredient that is a self-emulsifying (that’s what the “SE” stands for) form of...
glycine,Good,
Glycine soja oil,Best,Oil derived from wild soybeans; it has emollient properties.
Glycine soja seed extract,Best,
Glycine soja sterols,Best,"A sterol is a solid complex alcohol derived from animals and plants. In this case, the sterols are..."
glycogen,Good,Polysaccharide that has water-binding properties for skin.
glycolic acid,Best,"A type of alpha hydroxy acid (AHA) that, like other ingredients in the category, can act as a water-binding agent and, when properly formulated, as an exfoliant..."
glycolipid,Best,Type of lipid composed of sugar (monosaccharide) and fat (lipid) that forms an important component...
glycol stearate,Good,Used as an emollient and thickening agent.
glycoproteins,Best,Glycoproteins are a type of peptide naturally present in skin's surface that works with other ingredients to reinforce skin's barrier strength.
glycosaminoglycans,Best,Also known as mucopolysaccharides; these are a fundamental component of skin and are...
glycosphingolipid,Best,
glycyrrhetic acid,Best,Extract from licorice that has skin-soothing properties…
glycyrrhetinic acid,Best,One of the components of licorice root extract...
Glycyrrhiza glabra,Best,
Glycyrrhiza uralensis root extract,Best,
goji fruit extract,Good,
gold,Poor,An ingredient that seems luxe and helpful but is actually a frequent contact sensitizer…
Gossypium herbacuem seed oil,Good,"Also known as cotton seed oil, this non-fragrant plant oil may cause..."
gotu kola,Best,
grapefruit oil,Poor,Citrus oil whose volatile components (chiefly substances known as furocoumarins) are sensitizing...
grapefruit peel extract,Poor,Typically listed as citrus grandis (grapefruit) peel extract on the ingredient list...
grapefruit seed extract,Poor,"Labelled as Citrus paradisi (grapefruit) seed extract, this is often claimed as a natural preservative..."
grape seed extract,Best,Grape seed extract has been shown to help diminish free-radical damage…
grape seed oil,Best,"Emollient, non-fragrant plant\xa0oil that also has\xa0excellent antioxidant properties..."
green tea,Best,"Significant amounts of research have established that tea, including black, green, and white tea..."
gromwell,Best,
guarana,Poor,Herb that contains two and a half times more caffeine than coffee. It can have constricting...
guar gum,Good,Plant-derived thickening agent...
guar hydroxypropyltrimonium chloride,Good,
guava,Best,"Guava extract is a rich source of bioactive antioxidants including gallic acid, quercetin, and tocopherol."
gums,Good,"Substances that have water-binding properties, but that are used primarily as thickening agents in..."
Haematococcus pluvialis extract,Best,
Hamamelis virginiana,Poor,
hamamelitannin,Poor,Tannin that is found in witch hazel. It can be a skin sensitizer but it also has antioxidant...
Haslea ostrearia extract,Good,Extract derived from a water plant also known as blue algae. In pure concentrations this extract...
hayflower extract,Poor,"Plant extract that, due to its constricting effect on skin, can be sensitizing There is no..."
hazelnut oil,Good,Oil extracted from the hazelnut and that is used as an emollient.
hectorite,Good,"A type of clay used in cosmetics that enhances texture by imparting a smooth, silky feel."
Hedera helix,Poor,
hedione,Poor,"Synthetic fragrant component in products, which also can be a skin sensitizer."
Helianthus annuus seed oil,Best,
Helianthus oil,Best,
hemp seed oil,Good,"From the hemp plant, Cannabis sativa. Because both hemp and marijuana are from the genus Cannabis,..."
hesperidin,Best,Flavonoid found in various plants such as citrus and evening primrose oil. It has potential as a...
hesperidin methyl chalcone,Good,Citrus bioflavonoid often seen in products claiming to improve dark undereye circles. There is...
hexanoyl dipeptide-3 norleucine acetate,Best,Hexanoyl dipeptide-3 norleucine acetate is a synthetic peptide that helps skin’s surface shed properly and speeds up surface renewal for fresher-looking skin.
hexyl cinnamal,Poor,A fragrance ingredient used in many perfumes and often seen in fragranced skincare products...
hexyldecanol,Good,"A synthetic, non-drying fatty alcohol used as an emollient and skin-conditioning agent."
hexylene glycol,Good,
hexyl laurate,Good,Skin-softening agent and emollient that is a mixture of hexyl alcohol and lauric acid.
hexylresorcinol,Average,A synthetic ingredient that has been shown to have skin brightening ability but there is very limited research about it on skin...
hibiscus,Good,Fragrant plant
Himanthalia elongate extract,Good,Extract of a species of algae.
Hippophae rhamnoides,Good,
histidine,Good,
hoelen,Best,A mushroom that grows underground on the roots of pines and other trees around the world. It has...
homosalate,Best,FDA-approved sunscreen active ingredient that primarily provides UVB protection. Its UVA range is...
honey,Best,Substance produced by bees from the nectar of flowering plants. Composed primarily of the...
honey extract,Best,
honeysuckle flower extract,Best,Plant extract that functions as a soothing agent. It is a very good source of flavonoids...
hops,Average,"There is no research showing that hops have any benefit for skin. However, components in hops may..."
Hordeum vulgare extract,Average,
horse chestnut extract,Good,May have soothing properties for skin...
horse elder,Poor,
horseradish,Poor,Plant that can sensitize skin and should never be applied to abraded skin.
horsetail extract,Average,"Plant extract that has antioxidant and soothing properties, but there's no solid research showing it can and does exert these effects..."
Hortonia floribunda leaf extract,Average,No research shows this plant as having any benefit for skin although it and other plant components...
Huang qi,Good,
Humulus lupulus extract,Average,
hyaluronic acid,Best,Component of skin  that is used in skincare products as a good restorative ingredient....
Hydnocarpus anthelmintica,Poor,
Hydrastis canadenis,Poor,
hydrocotyl extract,Best,
hydrogenated coco-glyceride,Good,Used as an emollient and thickening agent in cosmetics.
hydrogenated didecene,Good,"Skin-conditioning agent derived from didecene, which is a hydrocarbon. Hydrocarbons are organic..."
hydrogenated lecithin,Best,
hydrogenated olive oil,Best,"When a plant oil is hydrogenated, it is chemically converted gas from a liquid to a semi-solid or..."
hydrogenated palm glycerides,Good,"Palm glycerides are the fatty acid component of palm oil. When a plant oil is hydrogenated, it is..."
hydrogenated polydecene,Good,Synthetic polymer that functions as an emollient and skin-conditioning agent.
hydrogenated polyisobutene,Good,Synthetic polymer used as a skin-conditioning agent and emollient.
hydrogenated soybean oil,Best,Non-fragrant plant oil from soy that has been hydrogenated so it retains a semi-solid rather than liquid state.
hydrogenated starch hydrolysate,Good," 'The end product of hydrolyzing starch, a polysaccharide carbohydrate..."
hydrogenated vegetable glycerides citrate,Good,A hydrogenated blend of vegetable glycerides that functions chiefly as an emollient and emulsifier in cosmetics...
hydrogen peroxide,Poor,There is a great deal of current research showing that hydrogen peroxide is problematic as a...
hydrolyzed acacia macrostachya seed extract,Good,"The extract from the seed of the Acacia macrostachya plant, a tropical shrub."
hydrolyzed corn starch,Good,"A form of the natural absorbent corn starch that has been hydrolyzed, which means it has undergone..."
hydrolyzed glycosaminoglycans,Best,"A skin-restorative ingredient that has been hydrolyzed, which is a chemical process involving the..."
hydrolyzed jojoba esters,Best,"Essential fatty acids from the jojoba plant, broken down by water to form a new complex with..."
hydrolyzed jojoba protein,Good,"Protein fraction of seeds from the jojoba plant that has been hydrolyzed, which is a chemical..."
hydrolyzed silk,Good,
hydrolyzed soy protein,Best,
hydrolyzed vegetable protein,Good,Composed of various protein substances derived from vegetables and broken down by water to form a...
hydrolyzed wheat protein,Good,"Protein fraction from wheat that has been hydrolyzed, which is a chemical process involving the..."
hydroquinone,Best,Hydroquinone has long been established as the most effective ingredient for reducing brown spots.
hydroxyethyl acrylate/sodium acryloyl dimethyl taurate copolymer,Good,"A polymer that functions as a stabilizer, thickening agent, and opacifying agent."
hydroxyethylcellulose,Good,Plant-derived thickening agent typically used as a binding agent or emulsifier. Also used (most...
hydroxyethylpiperazine ethane sulfonic acid,Poor,"Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to..."
hydroxyethyl urea,Good, 'A synthetic ingredient that serves to hydrate skin and help maintain a normal...
hydroxylated lecithin,Best,
hydroxypropyl cyclodextrin,Good, 'A plant- derived or synthetic carbohydrate that functions as a chelating agent and...
hydroxypropyl guar,Good,
hydroxypropyl starch phosphate,Good,A plant-based or synthetic starch ingredient that functions as a thickener or bulking agent in cosmetics...
Hypericum extract,Good,
hyssop,Average,Fragrant plant extract that may have some beneficial properties...
idebenone,Best,A synthetic antioxidant similar to coenzyme Q10. Idebenone got a lot of press as the best...
Ilex paraguariensis,Best,
Illicium vernum,Poor,
imidazolidinyl urea,Average,"Considered a weaker preservative than its ""cousin"" diazolidinyl urea because it is beneficial against..."
inactive ingredient,Good,The list of inactive ingredients is the part of an ingredient label that is not regulated by the...
inositol,Best,"Major component of lecithin that may have water-binding properties for skin. It is not a vitamin,..."
Inula helenium,Poor,
iodopropynyl butylcarbamate,Good,A synthetic preservative that is typically used in concentrations of 0.1% or less. It is very...
Iris florentina extract,Poor,
Irish moss extract,Good,Type of red algae.
iron oxides,Good,Compounds of iron that are used as colorings in some cosmetics. They also are used as a metal...
iron powder,Average,"Iron powder is, as the name states, a powdered versoin of the mineral iron. A natural ingredient, it's used as an opacifying agent in cosmetics."
isoamyl laurate,Good,"The ester of isoamyl alcohol and lauric acid, this plant- or synthetic-based texture-enhancing ingredient feels velvety-soft."
isobutyl acetate,Good,
isobutylparaben,Good,Parabens are a group of controversial preservatives that include butylparaben...
isocetyl salicylate,Average,
isododecane,Good,Hydrocarbon ingredient used as a solvent. Isododecane enhances the spreadability of products and...
isoflavone,Best,Plant derivative with antioxidant properties...
isohexadecane,Good,"Used as a detergent cleansing agent, emulsifier, and thickening agent in cosmetics."
isoleucine,Good,
isononyl isononanoate,Good,An ester that functions as a skin-conditioning agent. Occurs naturally in cocoa and lavender oil.
isoparaffin,Good,
isopropyl alcohol,Poor,
isopropyl isostearate,Good,The ester of isopropyl alcohol and isostearic acid. It is used as a skin-conditioning agent and emollient in cosmetics products...
isopropyl lanolate,Good,"Derived from lanolin, it is used in cosmetics as a thickening agent and emollient."
isopropyl myristate,Good,Texture enhancer and emollient as used in cosmetics.
isopropyl palmitate,Good,Texture enhancer and emollient as used in cosmetics. It can potentially be...
isopropyl titanium triisostearate,Good,A synthetic or animal-derived ingredient used as a surface treatment for cosmetic pigments...
isopropyl titanium triisostearte/triethoxycaprylylsilane crosspolymer,Good,"A synthetic, silicone-enhanced\xa0polymer that occurs from combining isopropyl titanium triisostearate..."
isostearamide DEA,Good,"Used as a surfactant, water-binding agent, and thickening agent."
isostearic acid,Good,Fatty acid used as a binding agent and thickener.
ivy extract,Poor,Plant extract that can be sensitizing due to its astringent (skin-constricting) properties.
Japan wax,Good,"Vegetable wax obtained from sumac berries, and used as a thickening agent and emollient in..."
jasmine oil,Poor,"Fragrant oil, often used as a source of perfume, that can be a skin sensitizer..."
Jasminium grandiflorum,Poor,
jojoba butter,Best,"The fattiest portion of jojoba oil, used as an intensive emollient."
jojoba esters,Best,A complex mixture of esters from jojoba oil and hydrogenated jojoba oil. The result is an...
jojoba oil,Best,"Emollient, non-fragrant oil (technically, a polyunsaturated wax) extracted from the seeds of a perennial shrub."
jojoba wax,Best,Semi-solid portion of jojoba oil.
jonquil extract,Poor,Fragrant plant extract that poses a strong risk of skin sensitization.
Ju hua,Good,
jujube fruit extract,Good,Asian plant extract that has soothing properties and may also provide other benefits...
juniper berry,Poor,Can have sothing properties for skin…
Juniperus communis,Poor,
kaolin,Good,Naturally occurring clay mineral (silicate of aluminum) that is used in cosmetics for its absorbent...
Kathon CG,Poor,
kava-kava extract,Poor,"Extract of the Piper methysticum\xa0plant that has soothing properties, but can..."
kawa extract,Poor,
kelp extract,Good,
Kigelia africana extract,Average,Extract of African plant commonly known as the sausage tree. The African lore about this extract is...
kiwi fruit extract,Average,"As a food, kiwi has significant antioxidant properties that may even be greater than those of..."
kojic acid,Good,"By-product of the fermentation process of malting rice for use in the manufacture of sake, Japanese..."
kojic dipalmitate,Good,A mixture of kojic acid and palmitic acid. It functions as a skin-conditioning agent and antioxidant...
kola nut,Average,"One of the major components of the kola nut is caffeine, which in high amounts can be a skin sensitizer..."
kudzu root,Best,"Source of isoflavone, genistein, and daidzein, all plant estrogens.."
kukui nut oil,Best,Non-volatile oil from a plant native to Hawaii; it has emollient properties for skin (Source:...
lactic acid,Best,"Alpha hydroxy acid extracted from milk, although most forms used in cosmetics are synthetic. It..."
lactobionate,Good,Polysaccharide that has water-binding properties for skin.
lactobionic acid,Best,
lactoperoxidase,Best,Enzyme derived from milk; it has purifying benefits for skin and may be helpful for...
lady's mantle extract,Poor,
lady's thistle (milk thistle) extract,Best,Extract for which there is a great deal of research showing it has many applications...
Lagerstroemia indica extract,Average,No research shows this plant as having any benefit for skin...
Laminaria digitata,Good,
Laminaria longicruris,Good,
Laminaria ochroleuca extract,Good,"The Latin name for a species of kelp, also known as brown seaweed. Applied topically, it helps..."
Laminaria sacharrina,Good,
Lamium album flower extract,Best,A species of the nettle plant that is used topically as as a soothing ingredient...
lanolin,Good,"Emollient, very thick substance derived from sheep. Lanolin has long been..."
lanolin alcohol,Good,Emollient derived from lanolin.
lappa extract,Good,
Larrea divaricata extract,Good,
Larrea tridentata,Good,
L-ascorbic acid,Best,Form of vitamin C that is a potent antioxidant and skin-soothing agent...
lauramphocarboxyglycinate,Good,Mild detergent cleansing agent.
laurdimonium hydroxypropyl hydrolyzed soy protein,Good,
laurdimonium hydroxypropyl hydrolyzed wheat protein,Good,
laureth-23,Good,"Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as..."
laureth-4,Good,"Derived from lauryl alcohol and used either as a surfactant or emulsifier (or, in many cases, as..."
laureth-7,Good,A form of lauryl alcohol (a non-irritating fatty alcohol derived from coconut oil) that can...
laureths,Good,Substances that in various combinations create a wide range of mild detergent cleansing agents...
lauric acid,Best,One of several fatty acids found in coconut oil and other natural fats.
lauroyl lysine,Good,Amino acid derivative that functions as a skin- and hair-conditioning agent. It also contributes to...
Laurus nobilis,Poor,
lauryl alcohol,Good,
lauryl glucoside,Good,
lauryl lactate,Good,Mixture of lauryl alcohol and lactic acid that functions as a skin-conditioning agent and...
lauryl laurate,Best,An ester of lauryl alcohol and lauric acid...
lauryl PEG-9 polydimethylsiloxyethyl dimethicone,Good,"A silicone polymer that has multiple functions in cosmetic products, including skin/hair..."
lavandin oil,Poor,Essential oil of the hybrid lavender plant Lavandula hybrida\xa0and used in cosmetics as a fragrance...
Lavandula angustifolia,Poor,
Lavandula officinalis,Poor,
lavender extract and oil,Poor,"In-vitro research indicates that components of lavender oil, specifically linalool and linalyl acetate, can have..."
L-cysteine,Good,
lecithin,Best,Phospholipid found in egg yolks and may be plant or animal derived. It is widely used in...
lemon,Poor,Potent skin sensitizer. Though it can have beneficial properties...
lemon balm,Poor,
lemongrass extract,Poor,Extract that can have beneficial properties...
lemongrass oil,Poor,Also known as Oil of Verbena; can be effective as a mosquito repellent...
lemon juice,Poor,"The juice from the citrus fruit lemon, often touted in the world of skin care as being a natural option for brightening skin."
lemon oil,Poor,"Commonly used citrus oil that can be a skin sensitizer, especially on abraded skin."
lentil fruit extract,Good,"Extract that functions as a skin-conditioning agent and likely has antioxidant benefit, too."
Lentinus edodes extract,Average,Extract from the shiitake mushroom that may have antioxidant properties...
Leontopodium alpinum extract,Best,Plant extract whose constituents are capable of provding antioxidant and soothing\xa0benefit...
Leptospermum scoparium oil,Good,
leucine,Good,Amino acid.
Levisticum officinale root extract,Poor,
licorice extract,Best,"Plant extract that has skin-soothing properties. In addition, licorice root may be effective in..."
licorice root,Best,
Lilium candidum bulb extract,Average,Extract derived from the white lily bulb. There is no research showing this has any benefit for...
lime oil and extract,Poor,Citrus fruit whose volatile compounds are sensitizing...
Limnanthes alba,Good,Plant commonly known as meadowfoam; its seed oil is a non-volatile plant oil used as a...
Limnanthes alba seed oil,Good,
limonene,Poor,"Chemical constituent of many natural fragrant ingredients, notably citrus oils such as lemon (d-limonene) and..."
linalool,Poor,"Fragrant component of lavender and coriander that can be a skin sensitizer, or..."
linden flower extract,Best,Major constituents in linden are flavonoids and glycosides. Flavonoids are potent...
linoleic acid,Best,Unsaturated fatty acid used as an emollient and thickening agent in cosmetics. There is some...
linolenic acid,Best,"Linolenic acid is a naturally-occurring, colorless polyunsaturated fatty acid liquid..."
linseed oil,Best,Non-volatile plant oil. Linoleic acid is a component of linseed oil.\xa0
Linum usitatissimum extract,Best,
lipid,Best,"Wide range of ingredients found in plants, animals, and human skin. Lipids include fatty acids,..."
liposomes,Good,Delivery system (not an ingredient) capable of holding other ingredients and releasing them after...
lithium magnesium sodium silicate,Good,"Synthetic silica-based clay composed of lithium, sodium, and magnesium. Used as a thickening agent..."
Lithospermum erythrorhizon,Best,"Also known as gromwell, the root of this plant is believed to have antioxidant and..."
Litsea cubeba,Poor,
locust bean,Good,
Lonicera caprifolium flower extract,Best,
Lonicera japonica ,Best,Honeysuckle extract. A plant with soothing properties for skin.
Lonicera japonica flower extract,Best,
loquat extract,Best,Extract derived from a subtropical flower that has antioxidant properties similar to...
lotus seed extract,Best,Extract that can have soothing and antioxidant properties...
lovage root extract,Poor,"In cosmetics, it is used as a fragrance...."
lupine,Good,Legume that is a source of isoflavones with antioxidant properties...
lupine oil,Average,"Extract of Lupinus albus, a legume; it has emollient and antioxidant properties, though it may also..."
Lupinus albus extract,Good,Species of legume.
lutein,Best,Carotenoid that has antioxidant properties…
Lycium barbarum fruit extract,Good,"The extract of the fruit commonly known as goji, goji berry, or wolfberry. This fruit extract is an antioxidant..."
lycopene,Best,Carotenoid pigment that has potent antioxidant properties…
lye,Poor,
lysine,Good,Amino acid.
macadamia nut oil,Good,Used in cosmetics as an emollient for dry skin.
madecassoside,Best,One of four principal bioactive compounds in the plant extract Centella asiatica.
magnesium,Good,Earth mineral that has strong absorbent properties and some disinfecting properties…
magnesium aluminum silicate,Good,"Powdery, dry-feeling, white solid that is used as a thickening agent and powder in cosmetics."
magnesium ascorbyl palmitate,Good,Fatty acid-based\xa0derivative of vitamin C that can be an effective antioxidant. There is some...
magnesium ascorbyl phosphate,Best,Form of vitamin C that is considered stable and an effective antioxidant for skin (Sources:...
magnesium carbonate,Good,"Inorganic mineral salt used as an absorbent, opacifying agent, coloring agent, or to adjust the pH..."
magnesium hydroxide,Good,Active ingredient in milk of magnesia. It is an absorbent and has disinfectant properties for skin.
magnesium laureth sulfate,Good,Mild detergent cleansing agent.
magnesium oleth sulfate,Good,Mild detergent cleansing agent.
magnesium stearate,Good,Used as a thickening agent in cosmetics.
magnesium sulfate,Good,"Commonly known as Epsom salt, a magnesium salt used as a texture enhancer."
Mahonia aquifolium root extract,Good, 'A plant extract known as Orgeon grape...
malic acid,Best,An AHA ingredient derived from unripe fruit that also occurs naturally in the human body…
mallow,Best,Can be used as a texture enhancer in cosmetics and may have soothing...
maltodextrin,Good,"A plant-based sugar created by hydrolyzing a saccharide with starch from corn, potato, or rice."
maltooligosyl glucoside,Good, 'A carbohydrate polysaccharide that’s naturally-derived and then combined...
malvaceae extract,Average,"Extract from plants of the Malvaceae family, which includes over 1,000 species, found in tropical..."
Malva sylvestris extract,Good,"Extract from the blue mallow flower, it may have some soothing properties for..."
mandarin orange oil or extract,Poor,Primarily used as a fragrance; it can be a skin sensitizer. There is no research showing it has any...
mandelic acid,Good,"A type of alpha hydroxy acid (AHA), also known as amygdalic acid. There’s some research showing mandelic acid is an effective exfoliant, although it’s not as effective as glycolic acid due to its larger size..."
manganese gluconate,Average,Mineral found in trace amounts in tissues of the body. While manganese plays a vital role in the...
manganese violet,Good,"Coloring agent/additive permanently listed (as of 1976) by the FDA for use in cosmetic products,..."
Mangifera indica (mango) seed butter,Best,"More commonly known as mango butter, this ingredient is a very good plant-based..."
Mangifera indica root,Good,Extract derived from the mango tree; it can have antioxidant properties (Source: Journal of...
manuka oil,Good,Extract derived from the New Zealand tea tree; the oil is similar to that of the Australian tea...
marigold,Good,
marionberry,Good,Fruit that has potent antioxidant properties.
marjoram,Poor,Herb with a fragrant component used in cosmetics; can be a skin sensitizer…
marshmallow,Best,A flowering plant native to Africa that has soothing effects...
Mastocarpus stellatus,Good,
mate extract,Best,
matricaria oil,Best,
MEA,Average,Abbreviation for monoethanolamine.
meadowfoam seed oil,Good,"Non-fragrant, edible plant oil originally developed as an agricultural crop in the 1950s. It..."
meadowsweet extract,Best,Extract that can have skin-soothing properties...
Medicago sativa,Best,
Melaleuca alternifolia,Good,
Melaleuca cajeputi oil,Poor,"There is no research showing that this oil, which is derived from a plant in the same family as the..."
Melia azadirachta extract,Best,
Melia azadirachta oil,Poor,
melibiose,Good,Saccharide that can have good water-binding properties.
Melissa officinalis,Poor,
Mentha arvensis,Poor,
Mentha piperita,Poor,
Mentha spicata,Poor,
Mentha viridis,Poor,
menthol,Poor,Derived from peppermint; menthol can have the same sensitizing effect as peppermint on skin…
menthone,Poor,Major constituent of peppermint.
menthoxypropanediol,Poor,Synthetic derivative of menthol. It is known to produce effects that are twice as strong as...
menthyl anthranilate,Best,"Also known as meradimate, this is a synthetic sunscreen active is a partially effective UVA..."
menthyl lactate,Poor,Used as a cooling agent and fragrance in cosmetics. It is a derivative of menthol and is supposed...
meradmiate,Best,
methanol,Poor,
methicone,Good,One of the simpler silicones due to its less complex molecular structure.
methionine,Good,
methylchloroisothiazolinone,Poor,"In combination with methylisothiazolinone, it goes by the trade name Kathon CG (among others)...."
methyldibromo glutaronitrile,Poor,Formaldehyde-releasing preservative...
methyldihydrojasmonate,Poor,Synthetic fragrant component.
methyl gluceth-20,Good,Liquid that functions as a water-binding and skin-conditioning agent.
methyl gluceth-20 benzoate,Good, 'A synthetic ester and emollient used to improve product spreadability. Methyl...
methyl glucose sesquistearate,Good,A mixure of the diesters of methyl glucoside and stearic acid. Functions as a skin-conditioning...
methylglucoside phosphate,Good,"A type of monosaccharide (simple sugar) derived from glucose, it serves as a skin-conditioning agent..."
methylisothiazolinone,Poor,Preservative that’s generally recommended for use only in rinse-off products such as cleansers or...
methylparaben,Good, 'Parabens are a group of controversial preservatives that include butylparaben...
methylpropanediol,Good,Glycol that functions as a solvent. Methylpropanediol can enhance ingredients such as salicylic acid.
methylsilanol mannuronate,Good,
methylsilanol PEG-7 glyceryl cocoate,Good,A glyceryl ester used as an emollient and texture enhancer in cosmetics.
methylsufonylsulfate,Good,
methyl trimethicone,Good,
Mexoryl SX,Best,
mica,Good,Earth mineral included in products to give them sparkle and shine.
microcrystalline wax,Good,"Plastic-type, highly refined wax derived from petroleum. Used as a thickener and to give products a..."
Microcystis aeruginosa,Good,Latin name for spirulina.
milk protein,Good,
milk vetch root,Good,"Root with potential antioxidant properties, although there isn't conclusive research that it functions that way when applied topically."
millet seed extract,Average,"Extract from a cereal grain that has no established benefit for skin, but is added to cosmetic..."
mimosa oil or extract,Poor,Extract used as a fragrance in cosmetics.
mineral oil,Good,"Clear, odorless oil derived from petroleum that is widely used in cosmetics because it rarely..."
mint,Poor,Can be a skin sensitizer…
mixed fruit extracts,Good,
montan wax,Good,"A type of natural wax derived from lignite, which is a type of coal that’s made from wood. Most..."
montmorillonite,Good,"A type of clay that is a mix of bentonite and fuller's earth, with the latter being a white to brown substance found in sediment..."
Morinda citrifolia,Good,
Morus alba root extract,Good,Latin name for mulberry.
Morus bombycis root extract,Good,
Morus nigra root extract,Good,
